Elisab.Brigitta Theresia Hirt|Jul 17, 1956|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100167-elisabbrigitta-theresia-hirt
Gisela Lehenbauer|Jan 24, 1957|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100168-gisela-lehenbauer
Elisabeth Mayrhofer|Aug 11, 1953|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100169-elisabeth-mayrhofer
Ulrike Angelika Pitsch|Apr 17, 1956|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100170-ulrike-angelika-pitsch
Monica Ptacnik|Apr 16, 1953|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100171-monica-ptacnik
Dagmar Monika Schaden|Mar 31, 1956|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100172-dagmar-monika-schaden
Guste Rosi Schneider|Jun 22, 1958|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100173-guste-rosi-schneider
Brigitta Suchanek|Nov 4, 1953|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100175-brigitta-suchanek
Gabriela Trmal|Sep 14, 1952|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100176-gabriela-trmal
Brigitte Magdalena Voykowitsch|Oct 21, 1957|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100177-brigitte-magdalena-voykowitsch
Ingeborg Gertrude Wolf|Dec 11, 1958|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100178-ingeborg-gertrude-wolf
Christine Zulehner|Mar 1, 1968|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100179-christine-zulehner
Ingrid Zeilinger|Jan 21, 1967|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100180-ingrid-zeilinger
Nadine Agon|Mar 22, 1953|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100182-nadine-agon
Johanne Andre|Mar 12, 1969|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100183-johanne-andre
Johanna-Leontina Aspeslagh|Jan 18, 1952|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100184-johanna-leontina-aspeslagh
